,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
0,0,0.726810822464202,0.09,0.3,3.0,267.0,749,20,21,34.026403653899266,5,100,0,0.0,4.0,2.0,307.4,288,325,16,42,0
1,1,1.0291693607478416,0.09,0.3,2.9963503649635035,274.0,324,20,31,38.3320803127027,5,100,0,0.0,4.0,2.0,285.5,272,298,11,21,16
2,2,0.5911347369625405,0.09,0.3,2.0,216.0,573,20,551,19.387079753627166,5,100,0,0.0,4.0,2.0,543.2,344,561,17,519,526
3,3,0.5092541361221591,0.09,0.3,2.0,216.0,738,20,180,48.14667604842381,5,100,0,0.0,4.0,2.0,367.5,284,386,14,354,248
4,4,0.859415613152209,0.09,0.3,,0.0,41,20,26,17.773924603042897,5,100,0,0.0,4.0,2.0,51.2,36,60,9,60,36
5,5,1.1746993780937476,0.09,0.3,,0.0,287,20,4,22.864027479060745,5,100,0,0.0,4.0,2.0,545.8,273,561,15,561,11
6,6,1.4389143661391246,0.09,0.3,3.0,266.0,674,20,655,35.560210991890145,5,100,0,0.0,4.0,2.0,54.5,40,65,13,40,41
7,7,1.127097583808323,0.09,0.3,,0.0,4,20,4,4.508390335233292,5,100,0,0.0,4.0,2.0,5.3,5,6,2,6,6
8,8,0.7875979405309542,0.09,0.3,,0.0,352,20,6,18.49363671667705,5,100,0,0.0,4.0,2.0,94.6,92,110,10,110,12
9,9,1.0594460324518866,0.09,0.3,2.148936170212766,47.0,326,20,4,18.49614449724418,5,100,0,0.0,4.0,2.0,288.1,265,299,12,247,8
10,10,1.1061719484720443,0.09,0.3,,0.0,323,20,5,17.92341807260475,5,100,0,0.0,4.0,2.0,336.4,307,350,13,350,8
11,11,0.7198699580427914,0.09,0.3,2.0,172.0,599,20,78,18.499362103278127,5,100,0,0.0,4.0,2.0,164.3,153,176,12,59,4
12,12,0.5484047322989345,0.09,0.3,,0.0,458,20,434,18.222422721213242,5,100,0,0.0,4.0,2.0,316.6,303,327,9,327,294
13,13,0.5859664688360336,0.09,0.3,,0.0,445,20,34,18.204000320597203,5,100,0,0.0,4.0,2.0,524.3,424,536,8,536,29
14,14,1.2203365062378086,0.09,0.3,,0.0,538,20,527,18.359221105185366,5,100,0,0.0,4.0,2.0,44.9,41,56,12,56,34
15,15,0.7649732239375443,0.09,0.3,,0.0,678,20,3,19.798449576605346,5,100,0,0.0,4.0,2.0,601.4,402,616,12,616,1
16,16,1.1431693464359503,0.09,0.3,,0.0,621,20,5,18.856177041857485,5,100,0,0.0,4.0,2.0,503.9,336,515,13,515,2
17,17,0.8467297361112568,0.09,0.3,2.0,171.0,177,20,167,21.26417014914535,5,100,0,0.0,4.0,2.0,83.0,74,92,13,8,76
18,18,0.9955834872585556,0.09,0.3,2.148936170212766,47.0,394,20,4,24.295417037538023,5,100,0,0.0,4.0,2.0,333.2,239,340,7,334,8
19,19,0.6035174283775117,0.09,0.3,,0.0,270,20,248,19.34142522040403,5,100,0,0.0,4.0,2.0,51.7,30,63,12,63,17
