,time,ID,Sec,X,Y,Contact_count,Vertex,Speed,Sit,exit,STUCK,Chair,group,groupedP,totalP,Contact_sec,Contact_IDs,Contact_Pop
0,0,0,0,16.964838290496235,1.1446114043110107,0,"[16.964838290496235, 1.1446114043110107]",0.8954973826869429,0,,,[],0.0,0.0,1.0,0.0,[],0
1,1,0,1,16.964838290496235,2.0401087869979535,1,"[[16.964838290496235, 1.1446114043110107], [16.964838290496235, 2.0401087869979535]]",0.8954973826869429,0,,,[],0.0,0.0,2.0,1.0,[1],1
2,1,1,0,16.758856785371123,1.228744698594047,1,"[16.758856785371123, 1.228744698594047]",1.3807643273681198,0,,,[],0.0,0.0,2.0,1.0,[0],1
3,2,0,2,16.964838290496235,2.9356061696848963,1,"[[16.964838290496235, 2.0401087869979535], [16.964838290496235, 2.9356061696848963]]",0.8954973826869429,0,,,[],0.0,0.0,2.0,1.0,[1],1
4,2,1,1,16.562633030517933,2.5954949924530553,1,"[[16.758856785371123, 1.228744698594047], [16.562633030517933, 2.5954949924530553]]",1.3807643273681198,0,,,[],0.0,0.0,2.0,1.0,[0],1
5,3,0,3,16.964838290496235,3.831103552371839,1,"[[16.964838290496235, 2.9356061696848963], [16.964838290496235, 3.831103552371839]]",0.8954973826869429,0,,,[],0.0,0.0,2.0,1.0,[1],1
6,3,1,2,16.366409275664743,3.9622452863120685,1,"[[16.562633030517933, 2.5954949924530553], [16.366409275664743, 3.9622452863120685]]",1.3807643273681198,0,,,[],0.0,0.0,2.0,1.0,[0],1
7,4,0,4,16.964838290496235,4.726600935058782,1,"[[16.964838290496235, 3.831103552371839], [16.964838290496235, 4.726600935058782]]",0.8954973826869429,0,,,[],0.0,0.0,3.0,1.0,[1],1
8,4,1,3,16.170185520811554,5.328995580171068,1,"[[16.366409275664743, 3.9622452863120685], [16.170185520811554, 5.328995580171068]]",1.3807643273681198,0,,,[],0.0,0.0,3.0,1.0,[0],1
9,4,2,0,15.787855819649057,1.7658601692519342,0,"[15.787855819649057, 1.7658601692519342]",1.336986184994548,0,,,[],0.0,0.0,3.0,0.0,[],0
10,5,0,5,16.964838290496235,5.622098317745725,1,"[[16.964838290496235, 4.726600935058782], [16.964838290496235, 5.622098317745725]]",0.8954973826869429,0,,,[],0.0,0.0,3.0,1.0,[1],1
11,5,1,4,16.013478371874037,6.420502273743429,1,"[[16.170185520811554, 5.328995580171068], [16.013478371874037, 6.420502273743429]]",1.3807643273681198,0,,,[],0.0,0.0,3.0,1.0,[0],1
12,5,2,1,15.080749038462509,2.8099531354330294,0,"[[15.787855819649057, 1.7658601692519342], [15.080749038462509, 2.4729669504384817], [15.080749038462509, 2.8099531354330294]]",1.336986184994548,0,,,[],0.0,0.0,3.0,0.0,[],0
13,6,0,6,16.964838290496235,6.517595700432668,1,"[[16.964838290496235, 5.622098317745725], [16.964838290496235, 6.517595700432668]]",0.8954973826869429,0,,,[],0.0,0.0,3.0,1.0,[1],1
14,6,1,5,16.013478371874037,6.420502273743429,1,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,3.0,1.0,[0],1
15,6,2,2,14.37364225727596,3.8540461016141245,0,"[[15.080749038462509, 2.8099531354330294], [14.37364225727596, 3.517059916619577], [14.37364225727596, 3.8540461016141245]]",1.336986184994548,0,,,[],0.0,0.0,3.0,0.0,[],0
16,7,0,7,16.964838290496235,7.413093083119612,1,"[[16.964838290496235, 6.517595700432668], [16.964838290496235, 7.413093083119612]]",0.8954973826869429,0,,,[],0.0,0.0,4.0,1.0,[1],1
17,7,1,6,16.013478371874037,6.420502273743429,1,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,4.0,1.0,[0],1
18,7,2,3,14.37364225727596,5.191032286608673,0,"[[14.37364225727596, 3.8540461016141245], [14.37364225727596, 4.8540461016141245], [14.37364225727596, 5.191032286608673]]",1.336986184994548,0,,,[],0.0,0.0,4.0,0.0,[],0
19,7,3,0,16.462842762415754,29.013968356686213,0,"[16.462842762415754, 29.013968356686213]",0.6006322673194119,0,,,[],0.0,0.0,4.0,0.0,[],0
20,8,0,8,16.964838290496235,8.308590465806555,1,"[[16.964838290496235, 7.413093083119612], [16.964838290496235, 8.308590465806555]]",0.8954973826869429,0,,,[],0.0,0.0,4.0,0.5,[1],1
21,8,1,7,16.013478371874037,6.420502273743429,2,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,4.0,1.2,"[0, 2]",2
22,8,2,4,14.37364225727596,6.528018471603221,1,"[[14.37364225727596, 5.191032286608673], [14.37364225727596, 6.191032286608673], [14.37364225727596, 6.528018471603221]]",1.336986184994548,0,,,[],0.0,0.0,4.0,0.7,[1],1
23,8,3,1,16.038131613194746,28.589257207465206,0,"[[16.462842762415754, 29.013968356686213], [16.038131613194746, 28.589257207465206]]",0.6006322673194119,0,,,[],0.0,0.0,4.0,0.0,[],0
24,9,0,9,16.964838290496235,9.204087848493497,0,"[[16.964838290496235, 8.308590465806555], [16.964838290496235, 9.204087848493497]]",0.8954973826869429,0,,,[],0.0,0.0,4.0,0.0,[],0
25,9,1,8,16.013478371874037,6.420502273743429,1,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,4.0,0.1,[2],1
26,9,2,5,13.666535476089413,7.572111437784316,1,"[[14.37364225727596, 6.528018471603221], [13.666535476089413, 7.235125252789769], [13.666535476089413, 7.572111437784316]]",1.336986184994548,0,,,[],0.0,0.0,4.0,0.1,[1],1
27,9,3,2,15.613420463973739,28.1645460582442,0,"[[16.038131613194746, 28.589257207465206], [15.613420463973739, 28.1645460582442]]",0.6006322673194119,0,,,[],0.0,0.0,4.0,0.0,[],0
28,10,0,10,16.964838290496235,10.09958523118044,0,"[[16.964838290496235, 9.204087848493497], [16.964838290496235, 10.09958523118044]]",0.8954973826869429,0,,,[],0.0,0.0,5.0,0.0,[],0
29,10,1,9,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,5.0,0.0,[],0
30,10,2,6,13.666535476089413,8.909097622778864,0,"[[13.666535476089413, 7.572111437784316], [13.666535476089413, 8.572111437784315], [13.666535476089413, 8.909097622778864]]",1.336986184994548,0,,,[],0.0,0.0,5.0,0.0,[],0
31,10,3,3,15.188709314752732,27.73983490902319,1,"[[15.613420463973739, 28.1645460582442], [15.188709314752732, 27.73983490902319]]",0.6006322673194119,0,,,[],0.0,0.0,5.0,0.7,[4],1
32,10,4,0,16.04041560300591,29.50699474033781,1,"[16.04041560300591, 29.50699474033781]",0.8222941230979979,0,,,[],0.0,0.0,5.0,0.7,[3],1
33,11,0,11,16.964838290496235,10.995082613867382,0,"[[16.964838290496235, 10.09958523118044], [16.964838290496235, 10.995082613867382]]",0.8954973826869429,0,,,[],0.0,0.0,5.0,0.0,[],0
34,11,1,10,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,5.0,0.0,[],0
35,11,2,7,13.84620829615099,7.584239239178032,0,"[[13.666535476089413, 8.909097622778864], [13.84620829615099, 7.584239239178032]]",1.336986184994548,0,,,[],1.0,2.0,5.0,0.0,[],0
